Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
OWL,*06v02*,11,2,122,F,Joel Piroe,LEE,0,0,0,172,-50,15.909090909090908,12.25,0.77,454,-332,0
PUN,*052cb*,11,3,123,D,Ian Maatsen,AVL,1,4.75,4.75,149,-26,30.018248175182478,164.5,5.48,203,-80,0.028875379939209727
PLE,*06ezb*,11,4,124,D,Micky van de Ven,TOT,12,80,6.67,92,32,34.98322147651007,208.5,5.96,147,-23,0.38369304556354916
KKCS,*06mpp*,11,5,125,M,Mats Wieffer,BHA,1,1,1,167,-42,26.014397905759164,198.75,7.64,159,-34,0.005031446540880503
BRG,*0554i*,11,6,126,M,Joelinton Cassio Apolinario de Lira,NEW,11,48.75,4.43,104,22,27.003205128205128,168.5,6.24,195,-69,0.2893175074183976
RVN,*05tqx*,11,7,127,G,David Raya,ARS,1,2,2,163,-36,36.98675496688742,279.25,7.55,77,50,0.007162041181736795
MTP,*0635j*,11,8,128,D,Chris Richards,CRY,27,264,9.78,39,89,32.99024918743228,304.5,9.23,47,81,0.8669950738916257
UFOE,*061ve*,11,9,129,M,Ryan Christie,BOU,1,6.75,6.75,142,-13,26.009501187648457,109.5,4.21,274,-145,0.06164383561643835
COB,*06fvn*,11,10,130,F,Norberto Bercique Gomes Betuncal,EVE,8,116.25,14.53,82,48,37.0253164556962,204.75,5.53,151,-21,0.5677655677655677
WOL,*0647t*,11,11,131,M,Lucas Tolentino Coelho de Lima,WHU,16,160.75,10.05,70,61,17.998927038626608,167.75,9.32,197,-66,0.9582712369597616
BGE,*06fxv*,11,12,132,M,Jean-Ricner Bellegarde,WOL,1,5,5,148,-16,26,97.5,3.75,297,-165,0.05128205128205128
BGE,*032f9*,12,1,133,G,Jordan Pickford,EVE,38,259,6.82,40,93,37.976539589442815,259,6.82,99,34,1
WOL,*06o2t*,12,2,134,F,Niclas FÃ¼llkrug,WHU,2,6,3,146,-12,7.989690721649485,31,3.88,407,-273,0.1935483870967742
COB,*0435m*,12,3,135,M,Granit Xhaka,SUN,24,195.75,8.16,57,78,33.99094437257438,262.75,7.73,97,38,0.7450047573739296
UFOE,*06rm8*,12,4,136,F,Mathys Tel,TOT,2,32,16,121,15,30.976430976430976,184,5.94,174,-38,0.17391304347826086
MTP,*02lm7*,12,5,137,M,Jack Grealish,EVE,19,191.75,10.09,58,79,19.994892747701737,195.75,9.79,162,-25,0.979565772669221
RVN,*04io4*,12,6,138,F,Richarlison de Andrade,TOT,2,24.25,12.12,127,11,32.012910798122064,272.75,8.52,83,55,0.08890925756186985
BRG,*02lnx*,12,7,139,F,Danny Welbeck,BHA,1,7.5,7.5,141,-2,37.00305810397553,242,6.54,109,30,0.030991735537190084
KKCS,*06mn0*,12,8,140,F,Igor Thiago Nascimento Rodrigues,BRF,37,443.25,11.98,4,136,38.01020408163265,447,11.76,4,136,0.9916107382550335
PLE,*03yr0*,12,9,141,M,Daniel James,LEE,1,1,1,167,-26,18.97959183673469,46.5,2.45,385,-244,0.021505376344086023
PUN,*06zwj*,12,10,142,F,Evann Guessand,AVL,1,1,1,167,-25,21.024258760107816,78,3.71,341,-199,0.01282051282051282
OWL,*06y9z*,12,11,143,M,Martin Zubimendi,ARS,0,0,0,172,-29,38.02395209580838,254,6.68,101,42,0
STL,*04qfq*,12,12,144,M,Matt O'Riley,BHA,0,0,0,172,-28,5.995717344753747,28,4.67,414,-270,0
STL,*04sat*,13,1,145,M,Emile Smith Rowe,FUL,1,4,4,152,-7,36.994949494949495,146.5,3.96,229,-84,0.027303754266211604
OWL,*02oq8*,13,2,146,M,James Ward-Prowse,WHU,4,22.5,5.62,128,18,17.99496644295302,107.25,5.96,277,-131,0.2097902097902098
